"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,3,8.68024316109423,63.2181053698075,1626.82978723404,63.0607902735562,0,0,0,0,0,0
0,1,9.4,86.9845389221557,1193.15808383234,9,0,0,0,1,0,0
1,1,14.7550318471338,40.516203821656,577.231847133758,90.6458598726115,0,0,0,0,0,1
1,3,15.2269028871391,66.8161154855643,308.169291338583,81,0,1,0,0,0,0
0,2,9.6,107.211748502994,834.94131736527,46,0,0,0,0,0,1
0,1,9.41617122473246,87.2398929845422,1201.77883472057,9,0,0,0,0,0,1
0,1,17.2798397863818,50.9838451268358,310.791722296395,83.9025367156209,0,0,0,0,0,1
1,1,9.28518896833504,41.890633299285,915.531154239019,65.8304392236977,1,0,0,0,0,0
0,2,12.611875,82.1483,1096.9775,12,0,0,0,0,1,0
0,2,1.36632124352332,59.256360103627,446.44689119171,43.3134715025907,0,1,0,0,0,0
0,3,3.73533260632497,108.895223555071,840.057797164667,37.0239912758997,0,0,0,1,0,0
0,1,9.7,87.2030471584039,1152.02055622733,9.48367593712213,0,0,0,1,0,0
0,1,13.0349104859335,85.0975447570332,1049.93094629156,12,0,0,0,0,0,1
0,2,15.9532695374801,20.6995853269537,751.395534290271,93.5502392344497,0,0,0,0,0,1
1,1,13.5931937172775,33.501387434555,684.706806282723,86.7853403141361,0,0,0,0,0,1
0,3,9.80166468489893,99.5077764565993,920.242568370987,28,0,0,0,0,0,1
0,2,22.1,45.0729749631811,1232.22238586156,49,0,0,0,0,0,1
1,3,10.9,91.8084282178218,406.460396039604,27.8267326732673,0,0,0,1,0,0
1,1,12.6171319796954,33.4303680203046,898.843908629442,85.4111675126904,1,0,0,0,0,0
1,1,13.835761589404,35.9703443708609,682.908609271523,87.6701986754967,1,0,0,0,0,0
1,1,8.69516339869281,59.1783790849673,1046.54117647059,79.7111111111111,1,0,0,0,0,0
1,3,10.3310432569975,90.0032697201018,445.081424936387,26.8320610687023,0,0,0,0,0,1
0,1,12.436523929471,85.489798488665,1082.86020151134,11,0,0,0,0,0,1
0,3,10.3765486725664,83.2676880530973,310.128318584071,38.0597345132743,0,0,0,0,1,0
0,1,15.501832460733,89.9791884816754,704.312827225131,47.2094240837696,0,0,1,0,0,0
1,1,15.8674902470741,67.7220936280884,533.468140442133,81.7932379713914,0,1,0,0,0,0
1,3,10.4952328159645,83.8045454545454,347.719512195122,40.4988913525499,0,1,0,0,0,0
1,2,12.3968314321927,40.7283523447402,1582.5247148289,82.7553865652725,1,0,0,0,0,0
0,1,-0.485696202531646,72.6532025316456,710.743037974684,16.2303797468354,1,0,0,0,0,0
0,3,9.77536057692308,99.3524399038462,919.728365384616,28,0,0,0,0,0,1
0,3,6.72962112514352,92.4220436280138,1147.42594718714,7.32606199770379,1,0,0,0,0,0
1,3,15.0704697986577,67.4808993288591,491.195973154362,81.2456375838926,0,1,0,0,0,0
0,3,7.67078239608802,89.1897432762836,1138.41075794621,16.4352078239609,1,0,0,0,0,0
0,3,-7.51674418604651,141.029937984496,419,43,1,0,0,0,0,0
0,1,14.8,76.9544866385373,256.617440225035,72,0,1,0,0,0,0
0,2,8.8818831942789,95.8918831942789,822.038140643623,20,0,0,0,0,1,0
1,3,14.1,37.043530927835,670.35824742268,85.9935567010309,0,0,0,0,0,1
0,2,10.2003831417625,76.9233461047254,994.27969348659,12.5134099616858,1,0,0,0,0,0
1,2,7.1,81.9918933054393,344.006276150628,29.9560669456067,0,0,0,0,1,0
0,1,25.5589285714286,14.8667207792208,2233.35876623377,73.2516233766234,1,0,0,0,0,0
0,1,21.6513157894737,46.9677339181287,1247.68274853801,46,0,0,0,0,0,1
1,1,12.295,64.2147894736842,835.239473684211,82.0328947368421,1,0,0,0,0,0
