"presence","fold","bio04","bio08","bio10","bio16","bio18","forest","shrub","grass","wetland","crop","urban"
1,3,45.3770728643216,8.81683417085427,20.2673366834171,384.986180904523,11.9723618090452,0,0,0,0,0,1
0,1,52.2026276276276,26.307957957958,27.9842342342342,496.747747747748,401.98048048048,0,0,0,0,1,0
0,2,83.6958838383838,19.102904040404,21.0717171717172,302.973484848485,295.243686868687,1,0,0,0,0,0
0,3,94.6579875776397,20.3,22.3,315.998757763975,299.998757763975,0,0,0,0,0,1
0,3,90.2344063647491,9.49339045287638,22.3137086903305,152.723378212974,71.3365973072215,0,0,0,0,0,1
1,2,35.8845828571429,5.34102857142857,13.8841142857143,1274.67657142857,316.212571428571,1,0,0,0,0,0
0,2,44.4069264705882,27.0158823529412,27.1063235294118,558.919117647059,558.373529411765,0,0,0,1,0,0
0,2,62.6781534090909,12.3157670454545,26.9,396.646306818182,395.247159090909,1,0,0,0,0,0
0,3,100.370191846523,22.2,22.2,302,302,0,0,0,0,0,1
1,2,50.9734086021505,3.48935483870968,15.8997849462366,1089.0247311828,170.997849462366,1,0,0,0,0,0
0,2,43.0121597633136,27.3235207100592,27.3754437869822,534.224852071006,505.998520710059,0,0,0,1,0,0
0,2,43.2456784660767,27.3678466076696,27.4514749262537,529.541297935103,507.676991150442,0,0,0,1,0,0
0,1,53.1142324888226,25.8107302533532,28.3342771982116,412.739195230998,322.067064083457,0,0,0,0,1,0
0,3,82.3063504464286,0.477008928571429,21.15859375,91.2075892857143,40,0,0,0,0,0,1
0,1,86.9341516245487,0.513116726835138,20.4078219013237,334.523465703971,277.111913357401,1,0,0,0,0,0
1,3,63.5765107458913,-0.114917825537295,15.8485461441214,487.085967130215,44.4285714285714,1,0,0,0,0,0
0,2,75.8480332056194,16.4283524904215,18.1051085568327,325.151979565773,311.518518518518,1,0,0,0,0,0
1,2,81.6092339121553,14.3744637385087,16.5744637385087,154.533197139939,138,0,0,0,0,1,0
0,3,90.0908647450111,9.90742793791575,16.7,236.205099778271,207.559866962306,1,0,0,0,0,0
0,1,86.1630787589499,0.973747016706444,20.6937947494033,329.645584725537,261.315035799523,0,0,0,0,0,1
1,2,81.0336680327869,14.4765368852459,16.6765368852459,155,138,0,0,0,0,0,1
1,1,29.0452168367347,9.56135204081633,16.899362244898,393.079081632653,15.468112244898,1,0,0,0,0,0
0,3,99.7305154639175,18.5706758304696,19.7175257731959,284.348224513173,282.119129438717,1,0,0,0,0,0
0,3,83.6815138121547,0.3,21.4,107.375690607735,40,0,0,0,0,1,0
0,3,83.2281132075472,0.4,21.2780244173141,115.108768035516,41,0,0,0,0,0,1
0,3,82.3339377085651,0.500889877641824,21.220022246941,90.4282536151279,40,0,0,0,0,1,0
0,3,147.75703087886,14.3589667458432,14.3589667458432,139.067695961995,139.067695961995,1,0,0,0,0,0
0,1,86.0306329113924,22.353670886076,23.0779746835443,307.240506329114,302.767088607595,0,0,0,0,0,1
0,2,76.2665151515152,30.5252066115702,30.9022038567493,92.4765840220386,73.9338842975207,0,0,0,0,0,1
1,1,50.2415396113602,25.4113602391629,27.9240657698057,308.113602391629,219.727952167414,0,0,0,0,0,1
0,3,25.0585031847134,20.2988853503185,21.746178343949,434.679936305732,168.43152866242,0,0,0,0,1,0
1,2,45.7566759388039,13.4,24.4735744089013,126.579972183588,25.4645340751043,0,0,0,1,0,0
0,1,67.6441384180791,10.6,26.3639830508475,458,356.088983050847,0,0,0,1,0,0
0,1,109.304514218009,20.1150473933649,22.0150473933649,335.440758293839,334.063981042654,0,0,0,0,0,1
1,2,63.6874441687345,8.09937965260546,23.4699751861042,606.741935483871,23.1104218362283,1,0,0,0,0,0
0,3,82.978765294772,0.4,21.1968854282536,114.088987764182,41.5906562847609,0,0,0,0,0,1
1,1,28.5663813229572,9.51037613488975,16.6875486381323,391.05317769131,15.3929961089494,1,0,0,0,0,0
1,2,59.8691208791209,2.58379120879121,17.1251373626374,398.821428571429,44.3804945054945,1,0,0,0,0,0
0,1,18.7206730769231,15.5121794871795,16.1475961538461,515.192307692308,254.919871794872,0,0,0,0,1,0
0,3,83.8918161683278,0.289700996677741,21.4,107.012181616833,40,0,0,0,0,1,0
1,3,91.4097270471464,9.8,22.9858560794045,144,70,0,0,0,0,0,1
0,2,120.926701570681,17.1980104712042,19.597277486911,212.277486910995,211.485863874346,0,0,0,0,1,0
0,2,141.325689789556,9.45463756819953,9.75463756819953,165,156,0,0,0,1,0,0
0,1,16.250884244373,19.888424437299,22.4400321543408,932.540192926045,357.554662379421,1,0,0,0,0,0
0,1,111.024796479648,16.1797579757976,17.4205720572057,313.2200220022,308.623762376238,1,0,0,0,0,0
1,3,91.559786163522,9.86905660377358,23.0431446540881,146.901886792453,70.9534591194969,0,0,0,0,0,0
0,1,130.070252365931,13.0565299684543,13.0565299684543,171,171,1,0,0,0,0,0
1,3,40.0076455696203,8.88050632911392,18.8840506329114,473.524050632911,16,0,0,0,0,0,1
1,2,37.729375696767,6.53634336677815,13.5627647714604,999.671125975474,386.503901895206,0,1,0,0,0,0
0,1,129.954007585335,13.0687737041719,13.0687737041719,171.523388116308,171.523388116308,1,0,0,0,0,0
1,2,51.7259247311828,3.75784946236559,16.315376344086,1089.68387096774,168.959139784946,1,0,0,0,0,0
1,1,53.0558384458078,3.8579754601227,16.7853783231084,561.405930470348,133.328220858896,1,0,0,0,0,0
